YearsExperience,Salary
0.0,0.01904086935979211
0.021276595744680826,0.10009449562957713
0.0425531914893617,0.0
0.09574468085106383,0.0684384597212379
0.11702127659574471,0.025513819985825654
0.19148936170212766,0.22337585636664303
0.2021276595744681,0.26481218993621547
0.22340425531914898,0.19742499409402314
0.22340425531914898,0.3155445310654382
0.2765957446808511,0.22983699503897945
0.29787234042553196,0.30105126387904557
0.30851063829787234,0.21335931963146704
0.30851063829787234,0.22709662178124262
0.3191489361702127,0.22856130403968816
0.3617021276595745,0.2761634774391684
0.4042553191489362,0.35680368532955353
0.42553191489361697,0.33425466572171036
0.44680851063829796,0.5357547838412473
0.5106382978723405,0.5153791637136782
0.5212765957446809,0.663938105362627
0.6063829787234044,0.6379281833215213
0.6382978723404256,0.7151193007323411
0.723404255319149,0.7508977084809828
0.7553191489361702,0.898665249232223
0.8085106382978723,0.8469170800850461
0.8404255319148937,0.8014528703047484
0.8936170212765957,0.9359555870540988
0.9042553191489363,0.8847625797306875
0.9787234042553192,1.0
1.0,0.9938695960311835
